Measure,Indicator,Region,Year,Food group,Stats,Intake (g/d)
abs,GDD,DJI,2015,potatoes,mean,584.876
abs,GDD,DJI,2015,potatoes,low,581.34
abs,GDD,DJI,2015,potatoes,high,585
abs,GDD,DJI,2015,othr_roots,mean,30.938
abs,GDD,DJI,2015,othr_roots,low,16.7142
abs,GDD,DJI,2015,othr_roots,high,60.2783
abs,GDD,DJI,2015,legumes,mean,200.854
abs,GDD,DJI,2015,legumes,low,151.01
abs,GDD,DJI,2015,legumes,high,259.588
abs,GDD,DJI,2015,nuts,mean,11.6735
abs,GDD,DJI,2015,nuts,low,6.32212
abs,GDD,DJI,2015,nuts,high,21.6789
abs,GDD,DJI,2015,prc_grains,mean,228.522
abs,GDD,DJI,2015,prc_grains,low,167.841
abs,GDD,DJI,2015,prc_grains,high,308.241
abs,GDD,DJI,2015,whole_grains,mean,56.9229
abs,GDD,DJI,2015,whole_grains,low,31.0688
abs,GDD,DJI,2015,whole_grains,high,94.3197
abs,GDD,DJI,2015,prc_meat,mean,20.1329
abs,GDD,DJI,2015,prc_meat,low,7.66095
abs,GDD,DJI,2015,prc_meat,high,47.9126
abs,GDD,DJI,2015,red_meat,mean,27.226
abs,GDD,DJI,2015,red_meat,low,21.962
abs,GDD,DJI,2015,red_meat,high,34.427
abs,GDD,DJI,2015,fish,mean,55.9164
abs,GDD,DJI,2015,fish,low,44.7797
abs,GDD,DJI,2015,fish,high,71.2619
abs,GDD,DJI,2015,eggs,mean,15.9925
abs,GDD,DJI,2015,eggs,low,12.8319
abs,GDD,DJI,2015,eggs,high,20.1829
abs,GDD,DJI,2015,milk,mean,70.8564
abs,GDD,DJI,2015,milk,low,58.4844
abs,GDD,DJI,2015,milk,high,86.2354
abs,GDD,DJI,2015,dairy,mean,101.886
